refname,colonisz,invasd,total,alien,nonnative,neobiota,nonindigenous,introduced,naturalized,weed,pest,exotic,n_obs,refnum,invasive_species,trophic_invader,response_var,habitat_type,study_type,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding.Sources,Funding.notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english,yi,vi,control_type,dataset,NMDS1full_text,NMDS2full_text,FWS_NOAA,EPA_USDA_conserv,citationsyr,sentiment
angeloni2006,0,0.005565217,2875,0,0,0,0,0.000695652,0,0,0,0.002086957,1,3,Phragmites australis,Primary-producer,Diversity,Lake,Observational,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,1,0,North America,angeloni,1,-5.32,3.79,NA,gallardo,0.646525224,-0.043427085,0,0,11.33333333,0.066530181
angeloni2006,0,0.005565217,2875,0,0,0,0,0.000695652,0,0,0,0.002086957,1,3,Typha glauca,Primary-producer,Abundance,Lake,Observational,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,0,0,North America,angeloni,1,5.2,1.17,NA,gallardo,0.646525224,-0.043427085,0,0,11.33333333,0.066530181
angeloni2006,0,0.005565217,2875,0,0,0,0,0.000695652,0,0,0,0.002086957,1,3,Typha glauca,Primary-producer,Diversity,Lake,Observational,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,0,0,North America,angeloni,1,-3.05,0.55,NA,gallardo,0.646525224,-0.043427085,0,0,11.33333333,0.066530181
angeloni2006,0,0.005565217,2875,0,0,0,0,0.000695652,0,0,0,0.002086957,1,3,Typha glauca,Primary-producer,Physiochemistry,Lake,Observational,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,0,0,North America,angeloni,1,1.62,0.61,NA,gallardo,0.646525224,-0.043427085,0,0,11.33333333,0.066530181
arthur2010,0,0,4974,0,0.013872135,0,0.000201045,0.001608363,0,0,0,0.000201045,1,5,several fish spp.,Omnivore,Diversity,Lake,Manipulative,56,0,1,0,0,0,0,UK Department for International Development: Fisheries Management Science Program,,Aquaculture,General,2010,2.044,2010,UK,0,0,0,0,Europe,arthur,1,0.41,0.12,NA,gallardo,0.815744908,1.256665595,1,0,8.615384615,0.119974886
arthur2010,0,0,4974,0,0.013872135,0,0.000201045,0.001608363,0,0,0,0.000201045,1,5,several fish spp.,Omnivore,Diversity,Lake,Observational,56,0,1,0,0,0,0,UK Department for International Development: Fisheries Management Science Program,,Aquaculture,General,2010,2.044,2010,UK,0,0,0,0,Europe,arthur,1,-0.12,0.09,NA,gallardo,0.815744908,1.256665595,1,0,8.615384615,0.119974886
atalah2010,0,0.004242906,3771,0.001856272,0,0,0,0.000265182,0,0,0,0,1,6,Dreissena polymorpha,Filter-collector,Abundance,Lake,Observational,4,0,0,0,1,0,0,Irish Environmental Protection Agency BIOCHANGE,,Hydrobiologia,General,2010,1.964,2010,Ireland,0,1,0,0,Europe,lejart,1,1.34,0.17,NA,gallardo,0.847199132,-0.603874193,0,1,0.615384615,0.06983596
atalah2010,0,0.004242906,3771,0.001856272,0,0,0,0.000265182,0,0,0,0,1,6,Dreissena polymorpha,Filter-collector,Diversity,Lake,Observational,4,0,0,0,1,0,0,Irish Environmental Protection Agency BIOCHANGE,,Hydrobiologia,General,2010,1.964,2010,Ireland,0,1,0,0,Europe,lejart,1,1.44,0.18,NA,gallardo,0.847199132,-0.603874193,0,1,0.615384615,0.06983596
back2012,0,0.000681199,4404,0,0,0,0,0,0,0.000454133,0,0,3,7,Phragmites australis,Primary-producer,Abundance,Lake,Manipulative,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1,-1.928511211,0.492411017,NA,gallardo,-0.888018657,0.075425263,1,0,0.666666667,0.075098012
back2012,0,0.000681199,4404,0,0,0,0,0,0,0.000454133,0,0,3,7,Phragmites australis,Primary-producer,Diversity,Lake,Manipulative,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1,0.254495543,0.394313621,NA,gallardo,-0.888018657,0.075425263,1,0,0.666666667,0.075098012
bajer2009,0,0.000232666,4298,0,0,0,0,0.000232666,0,0,0,0,1,8,Cyprinus carpio,Omnivore,Abundance,Lake,Observational,94,0,0,0,0,0,1,"Wetlands Initiative (Chicago, IL)",,Hydrobiologia,General,2009,1.754,2009,USA,1,0,0,0,North America,bajer,1,-2.91,0.04,NA,gallardo,-0.777477902,0.631005414,0,1,12.53333333,0.096942053
bajer2015,0,0.000281294,3555,0,0,0,0,0,0,0,0,0,1,221,Cyprinus carpio,Omnivore,Abundance,Lake,Manipulative,14,0,0,0,0,0,1,Riley Purgatory Bluff Creek Watershed District,NA,Global Change Biology,General,2014,7.5,2014,USA,1,0,0,0,North America,bajer,1,-1.275807581,1.203460623,low invader abundance,new,-0.455705786,0.73682824,0,1,5.6,0.036701263
baldridge2014,0,0.001573387,4449,0,0.000449539,0,0,0,0,0,0,0,4,202,Orconectes rusticus,Omnivore,Diversity,Lake,Observational,1,1,0,0,0,0,1,"(1) NSF (2) Global Linkages of Biology, Environment, and Society traning program at the University of Notre Dame (AKB) (3) University of Notre Dame Graduate School (AKB) (4) The University of Notre Dame Environmental Research Center (AKB). ",(1) NSF IGERT Integrative Graduate Education and Research Traineeship grant award (#0504495). ,Freshwater Science,Ecosystem,2014,1.762,2014,USA,0,0,0,0,North America,baldridge,1,-1.631070946,0.356504996,uninvaded,new,0.621885037,-0.553900258,0,1,0.4,0.056190573
baranowska2013,0,0.000195925,5104,0,0,0,0,0.000195925,0,0,0,0,2,9,Dreissena polymorpha,Filter-collector,Abundance,Lake,Observational,4,1,0,0,0,0,0,Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Grant,,Inland Waters,Ecosystem,2013,1.432,2013,Canada,0,1,0,0,North America,baranowska,1,-1.921038961,0.401620096,NA,gallardo,-0.882098608,-0.272512312,0,0,1.142857143,0.052559394
barbiero2008,0,0.000194175,5150,0,0,0,0,0,0,0,0,0.000582524,2,10,Bythotrephes longimanus,Predator,Abundance,Lake,Observational,8,0,0,0,1,0,0,US EPA (EP-W-06-046),,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,North America,barbiero,1,1.310298507,0.546699732,NA,gallardo,-0.270365884,-0.28666687,0,1,0.941176471,0.081982404
bassett2012,0,0.002756573,4716,0,0,0,0,0.002332485,0,0.003816794,0,0.005513147,1,12,Alternanthera philoxeroides,Primary-producer,Abundance,Lake,Observational,5,0,0,0,0,1,1,"(1) Landcare Research (New Zealand), (2) The Cooperative Research Center for Australian Weed Management, (3) University of Auckland",,Acta Oecologica,General,2012,1.621,2012,New Zealand,0,0,0,0,Australia and New Zealand,bassett,1,2.11,0.06,NA,gallardo,0.580944854,0.400530248,0,1,1.111111111,0.082918215
bauer2007,0,0.001592991,5022,0,0,0,0.000597372,0.000597372,0,0,0,0.002190362,2,11,Dreissena polymorpha,Filter-collector,Abundance,Lake,Observational,19,1,0,1,0,0,0,"(1) Illinois-Indiana Sea Grant College Program (NA86RG0048), (2) NSF DEB0213698, (3) Clare Booth Luce Memorial Fellowship",,Biological Invasions,Invasions,2007,2.125,2007,USA,0,1,0,0,North America,bauer,1,-0.43375,0.56457949,NA,gallardo,0.281757181,-0.083067492,1,0,2,0.135436957
baxter2004,0,0.001597019,3757,0,0.002661698,0,0,0.000798509,0,0,0,0.00026617,2,13,Oncorhynchus mykiss,Predator,Abundance,River,Manipulative,337,1,0,0,0,0,0,"(1) NSF, (2) Japan Society for the Promotion of Science, (3) Japanese Ministry of Education, Science, Sport, and Culture","NSF grant to Kurt D. Fausch, no number listed",Ecology,General,2004,4.104,2004,USA,0,0,0,0,North America,baxter,1,-0.536813354,0.917210259,NA,gallardo,0.356812306,0.133745863,0,0,26.96,0.024209198
bazterrica2011,0,0.002753071,4722,0,0.000423549,0,0,0,0,0,0,0,1,14,Ficopomatus enigmaticus,Filter-collector,Abundance,Estuary,Observational,10,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata (UNMDP), (2) Consejo Nacional de Ciencia y Tecnica (CONICET), (3) Fondo Nacional para la Investigacion Cientifica y Tecnologica (FONCyT)",,Biological Invasions,Invasions,2011,2.896,2011,Argentina,0,0,0,0,Central and South America,bazterrica,0,8.46,0.82,NA,gallardo,0.068691423,-0.311831391,0,0,1.818181818,0.036328369
beekey2004,0,0.000491039,4073,0,0,0,0,0,0,0,0,0.000245519,2,15,Dreissena polymorpha,Filter-collector,Abundance,Lake,Mesocosm,54,0,0,1,0,0,0,"(1) EPSCoR (University of Vermont), (2) National Sea Grant, (3) St. Michaeläó»s College, (4) Vermont Genetics Network",,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,North America,beekey,1,1.930701754,0.499912273,NA,gallardo,-0.834485076,-1.120102835,1,0,4.32,0.167101434
beekey2004,0,0.000491039,4073,0,0,0,0,0,0,0,0,0.000245519,2,15,Dreissena polymorpha,Filter-collector,Diversity,Lake,Mesocosm,54,0,0,1,0,0,0,"(1) EPSCoR (University of Vermont), (2) National Sea Grant, (3) St. Michaeläó»s College, (4) Vermont Genetics Network",,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,North America,beekey,1,1.450454545,0.47184358,NA,gallardo,-0.834485076,-1.120102835,1,0,4.32,0.167101434
beisner2003,0,0.001062135,5649,0,0,0,0,0,0,0,0,0.002655337,2,16,Osmerus mordax,Predator,Abundance,Lake,Observational,74,1,1,0,0,0,0,"(1) North Temperate Lakes LTER (NSF DEB9632853, DEB9011660, BSR8514330, DEB8012323), (2) Natural Sciences and Engineering Research Council (Canada), (3) Department of Fisheries and Oceans (Canada), (4) Guyer Fellowship (UW-Madison)",,Journal of Animal Ecology,General,2003,2.843,2003,USA,0,0,0,0,North America,beisner,1,0.097037037,0.812517806,NA,gallardo,0.425086688,-0.211714973,1,0,5.481481481,0.083050084
bially2000,0.000179727,0,5564,0,0,0,0,0.000359454,0,0,0,0,1,17,Dreissena polymorpha,Filter-collector,Abundance,Lake,Observational,112,1,0,0,0,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Ontario Ministries of Natural Resources and Environment: Environmental Youth Corps Grants",,Freshwater Biology,Ecosystem,2000,1.571,2000,Canada,0,1,0,0,North America,bially,1,1.65,0.5,NA,gallardo,-0.703271784,-1.40528035,0,1,6.787878788,0.083671706
bially2000,0.000179727,0,5564,0,0,0,0,0.000359454,0,0,0,0,1,17,Dreissena polymorpha,Filter-collector,Diversity,Lake,Observational,112,1,0,0,0,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Ontario Ministries of Natural Resources and Environment: Environmental Youth Corps Grants",,Freshwater Biology,Ecosystem,2000,1.571,2000,Canada,0,1,0,0,North America,bially,1,1.19,0.42,NA,gallardo,-0.703271784,-1.40528035,0,1,6.787878788,0.083671706
bishop2012,0.00020842,0.002084202,4798,0,0.002501042,0,0,0.00041684,0,0.00020842,0,0,6,18,Caulerpa taxifolia,Primary-producer,Abundance,Estuary,Manipulative,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1,0.208543571,0.253666395,NA,gallardo,0.303347183,0.263466205,0,0,2.888888889,0.066501313
bishop2012,0.00020842,0.002084202,4798,0,0.002501042,0,0,0.00041684,0,0.00020842,0,0,3,18,Caulerpa taxifolia,Primary-producer,Diversity,Estuary,Manipulative,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1,-0.323917526,0.318825163,NA,gallardo,0.303347183,0.263466205,0,0,2.888888889,0.066501313
bobeldyk2008,0,0.001864367,4291,0,0.000233046,0,0.000466092,0.000466092,0,0,0,0,2,19,Orconectes rusticus,Omnivore,Abundance,River,Observational,15,1,0,0,0,0,1,"(1) NSF (DEB0213698), (2) Center for Aquatic Conservation (University of Notre Dame)",,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,North America,bobeldyk,1,0.0034375,0.823082789,NA,gallardo,0.155694797,-0.126465934,0,1,1.764705882,0.012107118
bogacka-kapusta2013,0,0.000387147,2583,0.000387147,0.000387147,0,0,0,0,0,0,0.000774293,1,20,Vallisneria spiralis,Primary-producer,Abundance,Lake,Observational,2,0,1,0,0,0,0,Project S-009 of the Inland Fisheries Institute,,Acta Zoologica Bulgarica,General,2013,0.357,2013,Poland,0,0,0,0,Europe,bogacka-kapusta,0,11.76,5.89,NA,gallardo,-0.913031933,0.179744548,1,0,0.571428571,0.123955186
botts ps1996,0.000444642,0,2249,0,0,0,0,0,0,0,0,0,1,51,Dreissena polymorpha,Filter-collector,Abundance,Lake,Observational,173,1,0,0,0,0,0,(1) Penn State-Erie (2) Pennsylvania Academy of Sciences (3) National Biological Survey,(1) Undergraduate research grant (2) Grant to BAP (3) Provided support (money?) (p.184) ,North American Benthological Society,Ecosystem,1996,1.211,1997,USA,0,1,0,0,North America,botts,1,2.74,2.28,NA,gallardo,-1.342365018,-1.249972864,0,0,8.43902439,0.183550008
bourdeau2011,0,0.003408897,5867,0,0.00034089,0,0,0.00034089,0,0,0,0,1,21,Bythotrephes longimanus,Predator,Abundance,Lake,Observational,23,1,1,1,0,0,0,"(1) Fishery Research Program of the Great Lakes Fisheries Commission, (2) the National Oceanic and Atmospheric Administration, (3) and National Science Foundation grants OCE-0826020 to SDP",,Biological Invasions,Invasions,2011,2.896,2011,USA,0,0,0,0,North America,bourdeau,1,1.24,0.43,NA,gallardo,0.368216498,0.169268877,1,0,4.181818182,0.049724992
bowen2011,0,0.000464253,4308,0,0,0,0,0,0,0,0,0.000232126,3,22,Cercopagis pengoi,Predator,Abundance,Lake,Observational,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,0,0,0,North America,bowen,1,-2.210382609,0.464982468,NA,gallardo,-0.066534376,-0.429449191,0,1,3.272727273,-0.022739931
bowen2011,0,0.000464253,4308,0,0,0,0,0,0,0,0,0.000232126,9,22,Dreissena polymorpha,Filter-collector,Abundance,Lake,Observational,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1,-4.550047329,0.28706244,NA,gallardo,-0.066534376,-0.429449191,0,1,3.272727273,-0.022739931
bruschetti2008,0,0.000847937,3538,0,0,0,0.000282646,0.001413228,0,0,0,0.000282646,3,24,Ficopomatus enigmaticus,Filter-collector,Abundance,Estuary,Mesocosm,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundacií_n Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0,-0.691863354,0.39089005,NA,gallardo,-0.609684376,0.437515749,0,0,2.941176471,0.113648309
bruschetti2008,0,0.000847937,3538,0,0,0,0.000282646,0.001413228,0,0,0,0.000282646,3,24,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Estuary,Mesocosm,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundacií_n Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0,-0.409252602,0.373685017,NA,gallardo,-0.609684376,0.437515749,0,0,2.941176471,0.113648309
bruschetti2011,0,0.000872296,5732,0,0,0,0,0.000697837,0,0,0,0,1,23,Ficopomatus enigmaticus,Filter-collector,Abundance,Estuary,Mesocosm,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0,-2.08,0.5,NA,gallardo,-0.643788395,0.123987746,0,0,0.727272727,0.228929454
bruschetti2011,0,0.000872296,5732,0,0,0,0,0.000697837,0,0,0,0,2,23,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Estuary,Mesocosm,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0,-0.085696203,0.443518727,NA,gallardo,-0.643788395,0.123987746,0,0,0.727272727,0.228929454
bruschetti2011,0,0.000872296,5732,0,0,0,0,0.000697837,0,0,0,0,1,23,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Estuary,Observational,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0,42.48,55.69,NA,gallardo,-0.643788395,0.123987746,0,0,0.727272727,0.228929454
bunnell2008,0,0.000229885,4350,0,0.02137931,0,0,0.002988506,0,0,0,0,1,25,Centrarchids,Predator,Abundance,River,Observational,9,0,0,0,1,0,1,"(1) the Pinelands Commission, (2) US EPA, (3) and National Park Service.",,Copeia,General,2008,1.1,2008,USA,0,0,0,0,North America,bunnell,1,-0.72,0.17,NA,gallardo,1.059458348,0.986248225,0,1,1.058823529,0.14207303
bunnell2008,0,0.000229885,4350,0,0.02137931,0,0,0.002988506,0,0,0,0,1,25,Centrarchids,Predator,Diversity,River,Observational,9,0,0,0,1,0,1,"(1) the Pinelands Commission, (2) US EPA, (3) and National Park Service.",,Copeia,General,2008,1.1,2008,USA,0,0,0,0,North America,bunnell,1,-0.53,0.16,NA,gallardo,1.059458348,0.986248225,0,1,1.058823529,0.14207303
buria2007,0,0,3700,0.000540541,0,0,0,0.000540541,0,0,0,0.000540541,4,26,Oncorhynchus mykiss,Predator,Abundance,River,Observational,42,1,0,0,0,0,0,"(1) FONCyT PICT 01-13395, (2) CONI-CET PIP 6507 and (3) UNC B119",,Fundamental and Applied Limnology,Ecosystem,2007,0.558,2008,Argentina,0,0,0,0,Central and South America,buria,0,-4.276583221,0.3695305,NA,gallardo,-0.737445304,0.456428213,0,0,4.421052632,0.12322954
byers2014,0,0.002250225,4444,0,0.00450045,0,0,0.000225023,0,0,0,0,6,200,Petrolisthes armatus,Filter-collector,Abundance,Estuary,Mesocosm,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1,0.041023414,0.283916087,native species,new,0.538783868,0.508154929,1,0,1.2,0.037169254
caiola2005,0,0.000338639,2953,0,0.003047748,0,0,0.003047748,0,0,0,0,2,27,Gambusia holbrooki,Omnivore,Abundance,Estuary,Mesocosm,87,0,0,0,0,0,0,"(1) LIFE Project no. B4äóñ 3200/96/502, (2) Programa Praxis XXI",,Journal of Applied Ichthyology,General,2005,0.563,2005,Spain,0,0,0,0,Europe,caiola,0,-4.798651685,1.126205832,NA,gallardo,0.569785579,1.037601753,0,0,7.565217391,0.089115166
camarillo2015,0,0.001426788,5607,0,0,0,0,0.000356697,0,0,0,0.000178348,2,225,Triadica sebifera,Primary-producer,Abundance,River,Observational,1,0,0,0,0,0,1,"(1) Working Lands Investment Partners, LLC., (2) Stephen F. Austin State University, and (3) the McIntire-Stennis Cooperative Forestry Research Program",,Forest Ecology and Management,Conservation,2015,2.826,2015,USA,0,0,0,0,North America,camarillo,1,-0.73825613,0.215618969,low invader abundance,new,0.280955801,0.36642164,0,1,0.666666667,0.085356547
camarillo2015,0,0.001426788,5607,0,0,0,0,0.000356697,0,0,0,0.000178348,4,225,Triadica sebifera,Primary-producer,Diversity,River,Observational,1,0,0,0,0,0,1,"(1) Working Lands Investment Partners, LLC., (2) Stephen F. Austin State University, and (3) the McIntire-Stennis Cooperative Forestry Research Program",,Forest Ecology and Management,Conservation,2015,2.826,2015,USA,0,0,0,0,North America,camarillo,1,-0.313660076,0.149143819,low invader abundance,new,0.280955801,0.36642164,0,1,0.666666667,0.085356547
caraco1997,0,0.000444379,6751,0,0,0,0,0,0,0,0,0.000740631,2,28,Dreissena polymorpha,Filter-collector,Abundance,River,Observational,369,1,0,0,0,0,1,"(1) Hudson River Foundation, (2) General Reinsurance, (3) NSF",,Ecology,General,1997,3.139,1997,USA,0,1,0,0,North America,caraco,1,-0.615214724,0.631970334,NA,gallardo,0.162801291,-0.718307832,0,1,18.92307692,0.033282249
caraco1997,0,0.000444379,6751,0,0,0,0,0,0,0,0,0.000740631,2,28,Dreissena polymorpha,Filter-collector,Physiochemistry,River,Observational,369,1,0,0,0,0,1,"(1) Hudson River Foundation, (2) General Reinsurance, (3) NSF",,Ecology,General,1997,3.139,1997,USA,0,1,0,0,North America,caraco,1,0.219724771,0.73572033,NA,gallardo,0.162801291,-0.718307832,0,1,18.92307692,0.033282249
caraco2002,0,0,6784,0.000147406,0,0,0,0.000294811,0,0,0,0,4,29,Trapa natans,Primary-producer,Physiochemistry,River,Observational,159,1,0,1,0,0,1,"(1) Hudson River Foundation, (2) New York Sea Grant, (3) NSF, and (4) the A. W. Mellon Foundation",,Ecological Applications,Conservation,2002,3.025,2002,USA,0,0,0,0,North America,caraco,1,-1.916982543,0.64957254,NA,gallardo,-1.147043684,0.734017188,1,1,10.96551724,0.046816882
