newobsnum,bywhom?,refnum,refname,invasive_species,trophic_invader,response_var,response_var_details,response_var_units,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,pres_x,pres_n,pres_err,abs_x,abs_n,abs_err,error_type,control_type,abs_conditions,data_source,notes,include,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
68,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,32,48,34,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
69,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,4,48,9,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
70,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,6,48,8,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
8,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Diversity,richness,# order,Benthic Invertebrates,Lake,Observational,1008,1007,89.8,48,2.4,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
71,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Diversity,Shannon's index,,Benthic Invertebrates,Lake,Observational,1008,1007,0.93,22,0.46,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
10,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Physiochemistry,OM,%,OM,Lake,Observational,1009,1008,9.9,48,3.4,,,,sd,,,Table 1,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
9,Ben,159,Huser2016,Cyprinus carpio,Omnivore,Physiochemistry,nutrients-P,mg g^-1,Nutrients-P,Lake,Manipulative,1010,1009,0.17,3,0.02,0.18,3,0.02,sd,no species,exclosures,table 2,,1,9,0,0,0,0,0,1,Washington Metro Watershed Distrcit,,Hydrobiologia,General,2015,2.66,2015,Sweden,1,0,0,0,Europe,huser,0
11.1,Danie,160,Yang2016,Spartina alterniflora,Primary-producer,Physiochemistry,N,g N m-2,Nutrients-N,Lake,Observational,1011,1010,380.3,15,44.8,237,15,11.5,SEM,native species,In the presence of native (Phragmites),Table 3 ,,1,3,1,0,0,0,0,0,(1) National BasicResearch Program of China,(1) grant no. 2013CB430401,Ecological Engineering,General,2016,2.74,2015,China,0,0,0,1,Asia,yang,0
11,Danie,160,Yang2016,Spartina alterniflora,Primary-producer,Physiochemistry,C,g C m-2,OM,Lake,Observational,1012,1010,3783,15,218,1684,15,108,SEM,native species,In the presence of native (Phragmites),Table 3 ,,1,3,1,0,0,0,0,0,(1) National BasicResearch Program of China,(1) grant no. 2013CB430400,Ecological Engineering,General,2016,2.74,2015,China,0,0,0,1,Asia,yang,0
12,Ben,161,Ilarri2015,Corbicula fluminea,Filter-collector,Abundance,number of individuals,individuals m^-2,Benthic Invertebrates,River,Observational,1013,1011,1533.3,10,298,2067.4,10,473,SEM,native species,No invasive species shells in control,Table 3 ,,1,3,0,0,0,0,1,0,ECO-IAS: Ecosystem-Level Impacts of an Invasive alien species/ European Regional Development Fund,,Marine and Freshwater Research,Ecosystem,2015,1.67,2015,Portugal,0,0,0,0,Europe,ilarri,0
12.1,Ben,161,Ilarri2015,Corbicula fluminea,Filter-collector,Diversity,richness,,Benthic Invertebrates,River,Observational,1014,1012,9.687,10,5.94,11.728,10,4.309,sd,native species,No invasive species shells in control,Figure 4,,1,3,0,0,0,0,1,0,ECO-IAS: Ecosystem-Level Impacts of an Invasive alien species/ European Regional Development Fund,,Marine and Freshwater Research,Ecosystem,2015,1.67,2015,Portugal,0,0,0,0,Europe,ilarri,0
12.2,Ben,161,Ilarri2015,Corbicula fluminea,Filter-collector,Diversity,shannon-weiner index,index,Benthic Invertebrates,River,Observational,1014,1012,1.02,10,0.29,1.281,10,0.68,sd,native species,No invasive species shells in control,Figure 4,,1,3,0,0,0,0,1,0,ECO-IAS: Ecosystem-Level Impacts of an Invasive alien species/ European Regional Development Fund,,Marine and Freshwater Research,Ecosystem,2015,1.67,2015,Portugal,0,0,0,0,Europe,ilarri,0
13,Danie,162,Winandy2015,Carassius auratus,Predator,Abundance,abundance,# of eggs,Other,Lake,Manipulative,1015,1013,3.1,6,0.7,25.8,6,2.6,SEM,uninvaded,No invader present,Fig. 3c,Other= newts; data from no shelter treatments,1,7,1,0,0,0,0,0,(1) Fonds de la Recherche Scientifique (2) University of Liege,(1) FNRS under grant number J.008.13 (2) Fonds Speciaux grant number C11/23.,Animal Behaviour,General,2016,3.169,2015,Belgium,0,0,0,0,Europe,winandy,0
14,Ben,163,Jackson2016,Procambarus clarkii,Omnivore,Abundance,total density,number/400cm^2,Benthic Invertebrates,Lake,Manipulative,1016,1014,12.989,5,2.548,21.737,5,6.04,SEM,no species,no invader present,fig. 2,"data from exp 2, which has n=5 for these responses",1,0,0,0,0,0,0,0,Percy Sladen Memorial Fund,,Journal of Animal Ecology,General,2016,3.93,2015,UK,0,0,0,0,Europe,jackson_b,1
15,Ben,163,Jackson2016,Procambarus clarkii,Omnivore,Diversity,Taxon richness,number/cage,Benthic Invertebrates,Lake,Manipulative,1017,1015,2.87,5,0.489,4.19,5,0.668,SEM,no species,no invader present,fig 2,"data from exp 2, which has n=5 for these responses",1,0,0,0,0,0,0,0,Percy Sladen Memorial Fund,,Journal of Animal Ecology,General,2016,3.93,2015,UK,0,0,0,0,Europe,jackson_b,1
19,Kali,166,Ladrera2015,Didymosphenia geminata,Primary-producer,Abundance,density,individuals m^-2,Benthic Invertebrates,River,Observational,1018,1016,15054,3,1611,16851,3,3903,SEM,uninvaded,invader naturally absent,Figure 5,,1,5,0,0,0,0,0,0,NA,,River Research and Applications,Conservation,2015,1.98,2015,Spain,0,0,0,0,Europe,ladrera,0
17,Kali,166,Ladrera2015,Didymosphenia geminata,Primary-producer,Diversity,richness,"total (12, 30cm2 samples/site)",Benthic Invertebrates,River,Observational,1019,1017,30.11,3,0.93,41.68,3,1.34,SEM,uninvaded,invader naturally absent,Figure 5,,1,5,0,0,0,0,0,0,NA,,River Research and Applications,Conservation,2015,1.98,2015,Spain,0,0,0,0,Europe,ladrera,0
18,Kali,166,Ladrera2015,Didymosphenia geminata,Primary-producer,Diversity,Simpson diversity index,index,Benthic Invertebrates,River,Observational,1019,1017,0.506,3,0.037,0.853,3,0.004,SEM,uninvaded,invader naturally absent,Figure 5,,1,5,0,0,0,0,0,0,NA,,River Research and Applications,Conservation,2015,1.98,2015,Spain,0,0,0,0,Europe,ladrera,0
20,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,2,9,0.4,3.741,9,0.3,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Rod3 (abs), vegetated; Lancelotti had SEVEN different sites and biomass for 4 different species. Here I've put all possible pres-abs pairs of sites as indep obs.",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
21,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0.15,9,0.15,0,9,0,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Rod3 (abs), vegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
22,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0.15,9,0.2,0.496,9,0.05,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Rod3 (abs), vegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
23,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,0,9,0,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Rod3 (abs), vegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
46,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,2,9,0.4,12.623,9,0.65,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Mar (abs), vegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
47,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0.15,9,0.15,2.529,9,0.2,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Mar (abs), vegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
48,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0.15,9,0.2,1.631,9,0.35,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Mar (abs), vegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
49,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,1.034,9,1.45,sd,uninvaded,invader not stocked in lake,Figure 3,"Herr (pres) vs Mar (abs), vegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
168,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,12.562,9,1.848,19.35,9,4.494,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod1 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
169,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,12.967,9,6.892,1.57,9,0.622,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod1 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
170,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,0.723,9,0.349,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod1 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
171,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,2.469,9,2.594,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod1 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
172,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,3.653,9,1.848,19.35,9,4.494,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod1 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
173,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0.812,9,6.892,1.57,9,0.622,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod1 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
174,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,0.723,9,0.349,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod1 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
