sort_num,refnum,refname,invasive_species,trophic_invader,response_var,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,smd,var,SMD calculation notes,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
713,3,angeloni2006,Typha glauca,Primary-producer,Abundance,Macrophytes,Lake,Observational,9,7,5.2,1.17,,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,0,0,North America,angeloni,1
712,3,angeloni2006,Typha glauca,Primary-producer,Diversity,Macrophytes,Lake,Observational,10,8,-3.05,0.55,,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,0,0,North America,angeloni,1
714,3,angeloni2006,Typha glauca,Primary-producer,Physiochemistry,OM,Lake,Observational,11,9,1.62,0.61,,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,0,0,North America,angeloni,1
342,5,arthur2010,several fish spp.,Omnivore,Diversity,Fish,Lake,Manipulative,12,10,0.41,0.12,,56,0,1,0,0,0,0,UK Department for International Development: Fisheries Management Science Program,,Aquaculture,General,2010,2.044,2010,UK,0,0,0,0,Europe,arthur,1
341,5,arthur2010,several fish spp.,Omnivore,Diversity,Fish,Lake,Observational,13,11,-0.12,0.09,,56,0,1,0,0,0,0,UK Department for International Development: Fisheries Management Science Program,,Aquaculture,General,2010,2.044,2010,UK,0,0,0,0,Europe,arthur,1
66,6,atalah2010,Dreissena polymorpha,Filter-collector,Abundance,Benthic Invertebrates,Lake,Observational,14,12,1.34,0.17,,4,0,0,0,1,0,0,Irish Environmental Protection Agency BIOCHANGE,,Hydrobiologia,General,2010,1.964,2010,Ireland,0,1,0,0,Europe,lejart,1
65,6,atalah2010,Dreissena polymorpha,Filter-collector,Diversity,Benthic Invertebrates,Lake,Observational,15,13,1.44,0.18,,4,0,0,0,1,0,0,Irish Environmental Protection Agency BIOCHANGE,,Hydrobiologia,General,2010,1.964,2010,Ireland,0,1,0,0,Europe,lejart,1
634,7,back2012,Phragmites australis,Primary-producer,Abundance,Benthic Invertebrates,Lake,Manipulative,16,14,-1.49,0.58,,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1
635,7,back2012,Phragmites australis,Primary-producer,Abundance,Benthic Invertebrates,Lake,Manipulative,16,14,-3.02,1.13,,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1
636,7,back2012,Phragmites australis,Primary-producer,Abundance,Benthic Invertebrates,Lake,Manipulative,16,14,-1.79,0.66,,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1
631,7,back2012,Phragmites australis,Primary-producer,Diversity,Benthic Invertebrates,Lake,Manipulative,17,15,-0.42,0.41,,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1
632,7,back2012,Phragmites australis,Primary-producer,Diversity,Benthic Invertebrates,Lake,Manipulative,17,15,-0.04,0.4,,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1
633,7,back2012,Phragmites australis,Primary-producer,Diversity,Benthic Invertebrates,Lake,Manipulative,17,15,1.85,0.67,,3,0,0,1,0,0,0,NOAA (NA09NOS4190080),,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,North America,back,1
192,8,bajer2009,Cyprinus carpio,Omnivore,Abundance,Macrophytes,Lake,Observational,18,16,-2.91,0.04,,94,0,0,0,0,0,1,"Wetlands Initiative (Chicago, IL)",,Hydrobiologia,General,2009,1.754,2009,USA,1,0,0,0,North America,bajer,1
67,9,baranowska2013,Dreissena polymorpha,Filter-collector,Abundance,Phytoplankton,Lake,Observational,19,17,-1.47,0.23,,4,1,0,0,0,0,0,Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Grant,,Inland Waters,Ecosystem,2013,1.432,2013,Canada,0,1,0,0,North America,baranowska,1
68,9,baranowska2013,Dreissena polymorpha,Filter-collector,Abundance,Phytoplankton,Lake,Observational,19,17,-2.98,0.54,,4,1,0,0,0,0,0,Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Grant,,Inland Waters,Ecosystem,2013,1.432,2013,Canada,0,1,0,0,North America,baranowska,1
370,10,barbiero2008,Bythotrephes longimanus,Predator,Abundance,Phytoplankton,Lake,Observational,20,18,1.27,0.45,,8,0,0,0,1,0,0,US EPA (EP-W-06-046),,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,North America,barbiero,1
371,10,barbiero2008,Bythotrephes longimanus,Predator,Abundance,Phytoplankton,Lake,Observational,20,18,1.39,0.89,,8,0,0,0,1,0,0,US EPA (EP-W-06-046),,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,North America,barbiero,1
69,11,bauer2007,Dreissena polymorpha,Filter-collector,Abundance,Fish,Lake,Observational,21,19,0.35,0.51,,19,1,0,1,0,0,0,"(1) Illinois-Indiana Sea Grant College Program (NA86RG0048), (2) NSF DEB0213698, (3) Clare Booth Luce Memorial Fellowship",,Biological Invasions,Invasions,2007,2.125,2007,USA,0,1,0,0,North America,bauer,1
70,11,bauer2007,Dreissena polymorpha,Filter-collector,Abundance,Fish,Lake,Observational,21,19,-1.74,0.85,,19,1,0,1,0,0,0,"(1) Illinois-Indiana Sea Grant College Program (NA86RG0048), (2) NSF DEB0213698, (3) Clare Booth Luce Memorial Fellowship",,Biological Invasions,Invasions,2007,2.125,2007,USA,0,1,0,0,North America,bauer,1
549,12,bassett2012,Alternanthera philoxeroides,Primary-producer,Abundance,Benthic Invertebrates,Lake,Observational,22,20,2.11,0.06,,5,0,0,0,0,1,1,"(1) Landcare Research (New Zealand), (2) The Cooperative Research Center for Australian Weed Management, (3) University of Auckland",,Acta Oecologica,General,2012,1.621,2012,New Zealand,0,0,0,0,Australia and New Zealand,bassett,1
463,13,baxter2004,Oncorhynchus mykiss,Predator,Abundance,Benthic Invertebrates,River,Manipulative,23,21,-1.65,0.99,,337,1,0,0,0,0,0,"(1) NSF, (2) Japan Society for the Promotion of Science, (3) Japanese Ministry of Education, Science, Sport, and Culture","NSF grant to Kurt D. Fausch, no number listed",Ecology,General,2004,4.104,2004,USA,0,0,0,0,North America,baxter,1
464,13,baxter2004,Oncorhynchus mykiss,Predator,Abundance,Phytoplankton,River,Manipulative,24,21,5.76,5.6,,337,1,0,0,0,0,0,"(1) NSF, (2) Japan Society for the Promotion of Science, (3) Japanese Ministry of Education, Science, Sport, and Culture","NSF grant to Kurt D. Fausch, no number listed",Ecology,General,2004,4.104,2004,USA,0,0,0,0,North America,baxter,1
170,14,bazterrica2011,Ficopomatus enigmaticus,Filter-collector,Abundance,Macrophytes,Estuary,Observational,25,22,8.46,0.82,,10,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata (UNMDP), (2) Consejo Nacional de Ciencia y Tecnica (CONICET), (3) Fondo Nacional para la Investigacion Cientifica y Tecnologica (FONCyT)",,Biological Invasions,Invasions,2011,2.896,2011,Argentina,0,0,0,0,Central and South America,bazterrica,0
71,15,beekey2004,Dreissena polymorpha,Filter-collector,Abundance,Benthic Invertebrates,Lake,Mesocosm,26,23,1.34,0.37,,54,0,0,1,0,0,0,"(1) EPSCoR (University of Vermont), (2) National Sea Grant, (3) St. Michael’s College, (4) Vermont Genetics Network",,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,North America,beekey,1
72,15,beekey2004,Dreissena polymorpha,Filter-collector,Abundance,Benthic Invertebrates,Lake,Mesocosm,26,23,3.16,0.77,,54,0,0,1,0,0,0,"(1) EPSCoR (University of Vermont), (2) National Sea Grant, (3) St. Michael’s College, (4) Vermont Genetics Network",,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,North America,beekey,1
73,15,beekey2004,Dreissena polymorpha,Filter-collector,Diversity,Benthic Invertebrates,Lake,Mesocosm,27,24,0.76,0.31,,54,0,0,1,0,0,0,"(1) EPSCoR (University of Vermont), (2) National Sea Grant, (3) St. Michael’s College, (4) Vermont Genetics Network",,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,North America,beekey,1
74,15,beekey2004,Dreissena polymorpha,Filter-collector,Diversity,Benthic Invertebrates,Lake,Mesocosm,27,24,3.21,0.79,,54,0,0,1,0,0,0,"(1) EPSCoR (University of Vermont), (2) National Sea Grant, (3) St. Michael’s College, (4) Vermont Genetics Network",,Freshwater Biology,Ecosystem,2004,2.205,2004,USA,0,1,0,0,North America,beekey,1
481,16,beisner2003,Osmerus mordax,Predator,Abundance,Zooplankton,Lake,Observational,28,25,-0.38,1.15,,74,1,1,0,0,0,0,"(1) North Temperate Lakes LTER (NSF DEB9632853, DEB9011660, BSR8514330, DEB8012323), (2) Natural Sciences and Engineering Research Council (Canada), (3) Department of Fisheries and Oceans (Canada), (4) Guyer Fellowship (UW-Madison)",,Journal of Animal Ecology,General,2003,2.843,2003,USA,0,0,0,0,North America,beisner,1
482,16,beisner2003,Osmerus mordax,Predator,Abundance,Zooplankton,Lake,Observational,28,25,0.74,1.55,,74,1,1,0,0,0,0,"(1) North Temperate Lakes LTER (NSF DEB9632853, DEB9011660, BSR8514330, DEB8012323), (2) Natural Sciences and Engineering Research Council (Canada), (3) Department of Fisheries and Oceans (Canada), (4) Guyer Fellowship (UW-Madison)",,Journal of Animal Ecology,General,2003,2.843,2003,USA,0,0,0,0,North America,beisner,1
75,17,bially2000,Dreissena polymorpha,Filter-collector,Abundance,Benthic Invertebrates,Lake,Observational,29,26,1.65,0.5,,112,1,0,0,0,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Ontario Ministries of Natural Resources and Environment: Environmental Youth Corps Grants",,Freshwater Biology,Ecosystem,2000,1.571,2000,Canada,0,1,0,0,North America,bially,1
76,17,bially2000,Dreissena polymorpha,Filter-collector,Diversity,Benthic Invertebrates,Lake,Observational,30,27,1.19,0.42,,112,1,0,0,0,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Ontario Ministries of Natural Resources and Environment: Environmental Youth Corps Grants",,Freshwater Biology,Ecosystem,2000,1.571,2000,Canada,0,1,0,0,North America,bially,1
561,18,bishop2012,Caulerpa taxifolia,Primary-producer,Abundance,Benthic Invertebrates,Estuary,Manipulative,31,28,-1.56,0.4,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
562,18,bishop2012,Caulerpa taxifolia,Primary-producer,Abundance,Benthic Invertebrates,Estuary,Manipulative,31,28,-0.83,0.32,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
563,18,bishop2012,Caulerpa taxifolia,Primary-producer,Abundance,Benthic Invertebrates,Estuary,Manipulative,31,28,-0.66,0.31,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
558,18,bishop2012,Caulerpa taxifolia,Primary-producer,Abundance,Phytoplankton,Estuary,Manipulative,32,28,2.37,0.56,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
559,18,bishop2012,Caulerpa taxifolia,Primary-producer,Abundance,Phytoplankton,Estuary,Manipulative,32,28,1.38,0.38,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
560,18,bishop2012,Caulerpa taxifolia,Primary-producer,Abundance,Phytoplankton,Estuary,Manipulative,32,28,1.76,0.44,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
564,18,bishop2012,Caulerpa taxifolia,Primary-producer,Diversity,Benthic Invertebrates,Estuary,Manipulative,33,29,-1.06,0.34,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
565,18,bishop2012,Caulerpa taxifolia,Primary-producer,Diversity,Benthic Invertebrates,Estuary,Manipulative,33,29,0.4,0.29,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
566,18,bishop2012,Caulerpa taxifolia,Primary-producer,Diversity,Benthic Invertebrates,Estuary,Manipulative,33,29,-0.42,0.29,,13,1,0,0,0,0,0,"(1) Australian Research Council Discovery Grant, (2) Hermon Slade Foundation Grant",,Biological Invasions,Invasions,2012,2.509,2012,Australia,0,0,0,0,Australia and New Zealand,bishop,1
285,19,bobeldyk2008,Orconectes rusticus,Omnivore,Abundance,Benthic Invertebrates,River,Observational,34,30,-2.29,1.79,,15,1,0,0,0,0,1,"(1) NSF (DEB0213698), (2) Center for Aquatic Conservation (University of Notre Dame)",,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,North America,bobeldyk,1
286,19,bobeldyk2008,Orconectes rusticus,Omnivore,Abundance,Phytoplankton,River,Observational,35,30,1.4,1.09,,15,1,0,0,0,0,1,"(1) NSF (DEB0213698), (2) Center for Aquatic Conservation (University of Notre Dame)",,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,North America,bobeldyk,1
732,20,bogacka-kapusta2013,Vallisneria spiralis,Primary-producer,Abundance,Zooplankton,Lake,Observational,36,31,11.76,5.89,,2,0,1,0,0,0,0,Project S-009 of the Inland Fisheries Institute,,Acta Zoologica Bulgarica,General,2013,0.357,2013,Poland,0,0,0,0,Europe,bogacka-kapusta,0
372,21,bourdeau2011,Bythotrephes longimanus,Predator,Abundance,Zooplankton,Lake,Observational,37,32,1.24,0.43,,23,1,1,1,0,0,0,"(1) Fishery Research Program of the Great Lakes Fisheries Commission, (2) the National Oceanic and Atmospheric Administration, (3) and National Science Foundation grants OCE-0826020 to SDP",,Biological Invasions,Invasions,2011,2.896,2011,USA,0,0,0,0,North America,bourdeau,1
400,22,bowen2011,Cercopagis pengoi,Predator,Abundance,Zooplankton,Lake,Observational,38,33,-1.18,0.42,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,0,0,0,North America,bowen,1
401,22,bowen2011,Cercopagis pengoi,Predator,Abundance,Zooplankton,Lake,Observational,38,33,-3.99,1.12,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,0,0,0,North America,bowen,1
402,22,bowen2011,Cercopagis pengoi,Predator,Abundance,Zooplankton,Lake,Observational,38,33,-2.85,0.74,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,0,0,0,North America,bowen,1
77,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-5.36,0.77,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
78,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-5.12,0.71,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
79,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-5.52,0.8,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
80,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-4.45,0.57,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
81,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-2.47,0.28,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
82,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-3.73,0.45,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
83,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-14.47,4.65,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
84,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-14.8,4.86,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
85,22,bowen2011,Dreissena polymorpha,Filter-collector,Abundance,Zooplankton,Lake,Observational,39,34,-14.67,4.78,,18,0,0,0,0,0,1,Great Lakes Action Plan,,Aquatic Ecosystem Health and Management,Conservation,2011,0.653,2011,Canada,0,1,0,0,North America,bowen,1
172,23,bruschetti2011,Ficopomatus enigmaticus,Filter-collector,Abundance,Phytoplankton,Estuary,Mesocosm,40,35,-2.08,0.5,,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0
174,23,bruschetti2011,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,OM,Estuary,Mesocosm,41,36,1.31,0.37,,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0
173,23,bruschetti2011,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Turbidity,Estuary,Mesocosm,42,36,-1.67,0.42,,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0
171,23,bruschetti2011,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,OM,Estuary,Observational,43,37,42.48,55.69,,4,1,0,0,0,0,0,"(1) Universidad Nacional de Mar del Plata, (2) CONICET and (3) ANPCyT",,Journal of Sea Research,Ecosystem,2011,2.598,2011,Argentina,0,0,0,0,Central and South America,bruschetti,0
175,24,bruschetti2008,Ficopomatus enigmaticus,Filter-collector,Abundance,Phytoplankton,Estuary,Mesocosm,44,38,-0.41,0.41,,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundación Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0
176,24,bruschetti2008,Ficopomatus enigmaticus,Filter-collector,Abundance,Phytoplankton,Estuary,Mesocosm,44,38,-1.59,0.6,,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundación Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0
177,24,bruschetti2008,Ficopomatus enigmaticus,Filter-collector,Abundance,Phytoplankton,Estuary,Mesocosm,44,38,-0.36,0.41,,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundación Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0
178,24,bruschetti2008,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Turbidity,Estuary,Mesocosm,45,39,-0.27,0.41,,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundación Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0
179,24,bruschetti2008,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Turbidity,Estuary,Mesocosm,45,39,-0.82,0.45,,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundación Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0
180,24,bruschetti2008,Ficopomatus enigmaticus,Filter-collector,Physiochemistry,Turbidity,Estuary,Mesocosm,45,39,-0.18,0.4,,25,1,0,0,0,0,0,"(1) grants from Universidad Nacional de Mar del Plata, (2) the Fundación Antorchas (Argentina; A013672 and 13900-13), (3) CONICET (Argentina PIP-5669), and (4) ANPCyT (Argentina PICT-13527)",,Journal of Experimental Marine Biology and Ecology,Ecosystem,2008,2.074,2008,Argentina,0,0,0,0,Central and South America,bruschetti,0
399,25,bunnell2008,Centrarchids,Predator,Abundance,Fish,River,Observational,46,40,-0.72,0.17,,9,0,0,0,1,0,1,"(1) the Pinelands Commission, (2) US EPA, (3) and National Park Service.",,Copeia,General,2008,1.1,2008,USA,0,0,0,0,North America,bunnell,1
398,25,bunnell2008,Centrarchids,Predator,Diversity,Fish,River,Observational,47,41,-0.53,0.16,,9,0,0,0,1,0,1,"(1) the Pinelands Commission, (2) US EPA, (3) and National Park Service.",,Copeia,General,2008,1.1,2008,USA,0,0,0,0,North America,bunnell,1
465,26,buria2007,Oncorhynchus mykiss,Predator,Abundance,Benthic Invertebrates,River,Observational,48,42,-3.05,0.49,,42,1,0,0,0,0,0,"(1) FONCyT PICT 01-13395, (2) CONI-CET PIP 6507 and (3) UNC B119",,Fundamental and Applied Limnology,Ecosystem,2007,0.558,2008,Argentina,0,0,0,0,Central and South America,buria,0
